iter	Passed	Remaining
324	1426	42473
325	1430	42459
326	1434	42437
327	1438	42417
328	1442	42403
329	1446	42383
330	1450	42362
331	1454	42341
332	1457	42306
333	1460	42279
334	1464	42262
335	1468	42240
336	1472	42207
337	1475	42179
338	1479	42152
339	1482	42124
340	1486	42101
341	1489	42073
342	1493	42041
343	1496	42008
344	1500	41982
345	1505	42001
346	1510	42022
347	1513	41982
348	1517	41956
349	1520	41929
350	1524	41898
351	1527	41876
352	1531	41847
353	1534	41820
354	1538	41789
355	1541	41761
356	1545	41737
357	1548	41711
358	1552	41682
359	1555	41655
360	1559	41627
361	1562	41599
362	1565	41573
363	1569	41539
364	1572	41499
365	1575	41460
366	1578	41421
367	1581	41381
368	1584	41365
369	1591	41409
370	1597	41473
371	1604	41536
372	1612	41617
373	1618	41668
374	1625	41712
375	1628	41679
376	1631	41650
377	1635	41627
378	1638	41601
379	1642	41572
380	1646	41566
381	1651	41583
382	1654	41555
383	1658	41526
384	1661	41505
385	1665	41479
386	1669	41471
387	1672	41443
388	1677	41435
389	1680	41408
390	1683	41385
391	1687	41362
392	1690	41336
393	1694	41308
394	1697	41279
395	1701	41254
396	1704	41232
397	1709	41239
398	1715	41275
399	1720	41302
400	1724	41279
401	1727	41252
402	1731	41223
403	1735	41217
404	1738	41183
405	1741	41156
406	1745	41130
407	1748	41108
408	1752	41085
409	1756	41092
410	1760	41065
411	1763	41039
412	1767	41029
413	1773	41075
414	1777	41050
415	1780	41023
416	1784	40999
417	1787	40969
418	1790	40934
419	1793	40914
420	1797	40889
421	1803	40931
422	1810	40988
423	1815	41011
424	1819	40996
